_date,total_views,unique_views
2020-12-28,27,13
2020-12-29,27,22
2020-12-30,23,13
2020-12-31,20,11
2021-01-01,69,23
2021-01-02,64,20
2021-01-03,26,16
2021-01-04,23,16
2021-01-05,33,16
2021-01-06,27,17
2021-01-07,19,16
2021-01-08,26,17
2021-01-09,67,17
2021-01-10,45,24
2021-01-11,53,22
2021-01-12,117,27
2021-01-13,26,12
2021-01-14,25,14
2021-01-15,22,16
2021-01-16,24,13
2021-01-17,31,22
2021-01-18,19,13
2021-01-19,46,18
2021-01-20,42,19
2021-01-21,17,11
2021-01-22,27,13
2021-01-23,21,13
2021-01-24,54,15
2021-01-25,27,16
2021-01-26,33,9
2021-01-27,23,17
2021-01-28,46,13
2021-01-29,15,12
2021-01-30,7,4
2021-01-31,21,13
2021-02-01,46,12
2021-02-02,26,16
2021-02-03,8,5
2021-02-04,22,10
2021-02-05,9,5
2021-02-06,10,5
2021-02-07,39,16
2021-02-08,15,11
2021-02-09,5,5
2021-02-10,7,7
2021-02-11,15,11
2021-02-12,16,13
2021-02-13,11,9
2021-02-14,24,15
2021-02-15,17,13
2021-02-16,4,4
2021-02-17,19,10
2021-02-18,8,6
2021-02-19,8,6
2021-02-20,8,8
2021-02-21,22,10
2021-02-22,7,4
2021-02-23,16,13
2021-02-24,17,5
2021-02-25,8,7
2021-02-26,19,14
2021-02-27,29,14
2021-02-28,10,6
2021-03-01,17,7
2021-03-02,10,5
2021-03-03,17,11
2021-03-04,4,4
2021-03-05,8,6
2021-03-06,26,9
2021-03-07,44,16
2021-03-08,20,11
2021-03-09,17,8
2021-03-10,18,12
2021-03-11,6,3
2021-03-12,19,5
2021-03-13,22,9
2021-03-14,30,10
2021-03-15,14,6
2021-03-16,4,4
2021-03-17,26,12
2021-03-18,17,6
2021-03-19,23,6
2021-03-20,13,11
2021-03-21,18,12
2021-03-22,9,9
2021-03-23,10,9
2021-03-24,7,5
2021-03-25,9,6
2021-03-26,11,3
2021-03-27,5,5
2021-03-28,8,5
2021-03-29,10,6
2021-03-30,23,9
2021-03-31,5,4
2021-04-01,6,4
2021-04-02,16,10
2021-04-03,13,11
2021-04-04,14,7
2021-04-05,13,4
2021-04-06,8,7
2021-04-07,11,11
2021-04-08,15,7
2021-04-09,7,3
2021-04-10,13,9
2021-04-11,13,11
2021-04-12,7,7
2021-04-13,9,8
2021-04-14,26,14
2021-04-15,4,4
2021-04-16,13,8
2021-04-17,19,10
2021-04-18,20,12
2021-04-19,16,10
2021-04-20,24,3
2021-04-21,19,11
2021-04-22,16,3
2021-04-23,6,5
2021-04-24,3,3
2021-04-25,11,8
