_date,total_views,unique_views
2020-12-28,27,13
2020-12-29,27,22
2020-12-30,23,13
2020-12-31,20,11
2021-01-01,69,23
2021-01-02,64,20
2021-01-03,26,16
2021-01-04,23,16
2021-01-05,33,16
2021-01-06,27,17
2021-01-07,19,16
2021-01-08,26,17
2021-01-09,67,17
2021-01-10,45,24
2021-01-11,53,22
2021-01-12,117,27
2021-01-13,26,12
2021-01-14,25,14
2021-01-15,22,16
2021-01-16,24,13
2021-01-17,31,22
2021-01-18,19,13
2021-01-19,46,18
2021-01-20,42,19
2021-01-21,17,11
2021-01-22,27,13
2021-01-23,21,13
2021-01-24,54,15
2021-01-25,27,16
2021-01-26,33,9
2021-01-27,23,17
2021-01-28,46,13
2021-01-29,15,12
2021-01-30,7,4
2021-01-31,21,13
